(8, 10, 10067)
(6, 6, 6559)
(2, 8, 27758)
(1, 1, 0)
(1, 2, 4997)
(3, 3, 1029)
(1, 1, 2449)
(1, 1, 1763)
(4, 5, 12625)
(1, 1, 2403)
(1, 8, 229758)
(5, 56, 578159)
(10, 51, 611204)
(16, 45, 711975)
(58, 64, 420091)
(22, 49, 380745)
(5, 19, 247025)
(9, 14, 298891)
(28, 67, 717082)
(6, 46, 768789)
(10, 358, 21002691)
(85, 272, 18969954)
(100, 182, 4044793)
(399, 803, 23190622)
(634, 761, 15424687)
(55, 258, 17907484)
(622, 787, 14082041)
(150, 348, 14644081)
(510, 819, 24549416)
(2, 625, 15952095)
(233, 375, 9014021)
(557, 850, 15967216)
(432, 957, 19198271)
(491, 707, 17472568)
(131, 167, 7651145)
(148, 1359, 353745115)
(213, 1595, 458552043)
(6156, 7032, 484253724)
(2330, 3083, 385298848)
(696, 2623, 601799450)
(691, 3302, 715503642)
(3379, 6842, 1083685299)
(924, 3302, 455742335)
(1090, 2737, 555484309)
(753, 947, 245362288)
(128011, 250522, 372466593096)
(43748, 80515, 191041039797)
(73437, 154722, 334304487827)
(550843, 663251, 510604407248)
(19313, 64155, 228952617273)
